route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url,route_sort_order
01,2,"F1","Plaine de la Ronce <> Stade Diochon",3,E6007E,ffffff,,20
02,2,"F2","Centre commercial de La Vatine <> Tamarelle",3,A2559D,ffffff,,21
03,2,"F3","Hôtel de Ville de Sotteville <> Tourville-la-Rivière",3,FFDD00,1d1d1b,,22
04,2,"F4","Hameau de Frévaux <> Mont-Riboudet",3,EC6408,ffffff,,23
05,2,"F5","Théâtre des Arts <> Lycée Galilée",3,AFCA0B,1d1d1b,,24
06,2,"F6","Les Bouttières <> Gare de Saint-Etienne",3,00ACE5,ffffff,,25
07,2,"F7","La Pléiade <> Hôtel de Ville de Sotteville",3,008F5B,ffffff,,26
08,2,"F8","Lycée du Cailly <> Tamarelle",3,0090D7,ffffff,,27
10,2,"10","Maromme La Maine <> Lycée Flaubert",3,F8AE4C,1d1d1b,,40
11,2,"11","Collège L. de Vinci <> Ile Lacroix",3,00ACE5,ffffff,,41
13,2,"13","Martainville <> École de Musique",3,F8AE4C,1d1d1b,,42
14,2,"14","Mont Pilon <> Mairie de Belbeuf",3,00ACE5,ffffff,,43
15,2,"15","Jules Verne <> Grand Val",3,74B95B,1d1d1b,,44
20,2,"20","Le Chapître <> Mairie de Saint-Aubin-Épinay",3,C29FCB,1d1d1b,,45
201,2,"201","Rue d'Hectot / Salle des Fêtes <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,201
202,2,"202","Le Maupas - Ferme du Tronc <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,202
203,2,"203","L'Orvason <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,203
204,2,"204","Bois de la Fontaine <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,204
205,2,"205","Le Paulu - Usine Oxford <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,205
206,2,"206","Rue Saint-Jean <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,206
207,2,"207","Route du Halage <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,207
208,2,"208","Calumet <> Collège Gustave Flaubert",3,FDC300,1d1d1b,,208
210,2,"210","Ronceray <> Collège Charcot",3,FDC300,1d1d1b,,210
211,2,"211","Le Beauquesnay <> Collège Charcot",3,FDC300,1d1d1b,,211
212,2,"212","Terrain de Pétanque <> Collège Charcot",3,FDC300,1d1d1b,,212
